ID Year,Year,Violent Crime,Food Insecurity,County,ID Geography,Slug Geography
2020,2020,200.9580536,0.118000001,"Colusa County, CA",05000US06011,colusa-county-ca
2020,2020,336.0278015,0.101000004,"Contra Costa County, CA",05000US06013,contra-costa-county-ca
2020,2020,609.1091919,0.164000005,"Del Norte County, CA",05000US06015,del-norte-county-ca
2020,2020,217.5839386,0.107000001,"El Dorado County, CA",05000US06017,el-dorado-county-ca
2020,2020,541.7792358,0.140000001,"Fresno County, CA",05000US06019,fresno-county-ca
2020,2020,408.1413574,0.129999995,"Glenn County, CA",05000US06021,glenn-county-ca
2020,2020,432.1358032,0.162,"Humboldt County, CA",05000US06023,humboldt-county-ca
2020,2020,366.253479,0.142000005,"Imperial County, CA",05000US06025,imperial-county-ca
2020,2020,600.453064,0.112000003,"Inyo County, CA",05000US06027,inyo-county-ca
2020,2020,545.3378296,0.134000003,"Kern County, CA",05000US06029,kern-county-ca
2020,2020,443.3772278,0.131999999,"Kings County, CA",05000US06031,kings-county-ca
2020,2020,535.4731445,0.156000003,"Lake County, CA",05000US06033,lake-county-ca
2020,2020,586.9299316,0.138999999,"Lassen County, CA",05000US06035,lassen-county-ca
2020,2020,488.3460999,0.112000003,"Los Angeles County, CA",05000US06037,los-angeles-county-ca
2020,2020,620.2355347,0.114,"Madera County, CA",05000US06039,madera-county-ca
2020,2020,177.857254,0.094999999,"Marin County, CA",05000US06041,marin-county-ca
2020,2020,431.4285583,0.142000005,"Mariposa County, CA",05000US06043,mariposa-county-ca
2020,2020,640.4857788,0.136000007,"Mendocino County, CA",05000US06045,mendocino-county-ca
2020,2020,555.3386841,0.130999997,"Merced County, CA",05000US06047,merced-county-ca
2020,2020,504.7955627,0.155000001,"Modoc County, CA",05000US06049,modoc-county-ca
2020,2020,262.0620422,0.107000001,"Mono County, CA",05000US06051,mono-county-ca
2020,2020,420.6361389,0.094999999,"Monterey County, CA",05000US06053,monterey-county-ca
2020,2020,397.681366,0.079999998,"Napa County, CA",05000US06055,napa-county-ca
2020,2020,264.1900635,0.122000001,"Nevada County, CA",05000US06057,nevada-county-ca
2020,2020,213.5828094,0.092,"Orange County, CA",05000US06059,orange-county-ca
